name
align-content-center
align-content-start
align-content-end
align-content-baseline
align-content-space-around
align-content-space-between
align-content-space-evenly
align-content-stretch
align-items-stretch
align-items-center
align-items-start
align-items-end
align-items-baseline
align-self-auto
align-self-center
align-self-start
align-self-end
align-self-baseline
align-self-stretch
animation-none
background-none
border-none
border-collapse-collapse
border-collapse-separate
border-spacing-0
bottom-0
box-shadow-none
box-sizing-border-box
box-sizing-content-box
clear-none
clear-left
clear-right
clear-both
color-black
color-white
column-gap-0
cursor-auto
cursor-default
cursor-none
cursor-pointer
display-block
display-flex
display-grid
display-inline
display-none
flex-direction-column
flex-direction-column-reverse
flex-direction-row
flex-direction-row-reverse
flex-grow-0
flex-grow-1
flex-shrink-0
flex-shrink-1
flex-wrap-wrap
flex-wrap-nowrap
float-none
float-left
float-right
font-style-italic
font-style-normal
font-style-oblique
font-weight-100
font-weight-200
font-weight-300
font-weight-400
font-weight-500
font-weight-600
font-weight-700
font-weight-800
font-weight-900
font-weight-bold
font-weight-bolder
font-weight-lighter
font-weight-normal
gap-0
inset-0
justify-content-center
justify-content-start
justify-content-end
justify-content-space-between
justify-content-space-around
justify-content-space-evenly
justify-content-stretch
justify-items-stretch
justify-items-center
justify-items-start
justify-items-end
justify-items-baseline
justify-self-auto
justify-self-center
justify-self-start
justify-self-end
justify-self-baseline
justify-self-stretch
left-0
list-style-type-circle
list-style-type-decimal
list-style-type-disc
list-style-type-none
list-style-type-square
margin-0
margin-auto
margin-bottom-0
margin-left-0
margin-right-0
margin-top-0
object-fit-contain
object-fit-cover
object-fit-fill
object-fit-none
object-fit-scale-down
opacity-0
opacity-1
order-0
order-1
outline-none
overflow-visible
overflow-hidden
overflow-scroll
overflow-auto
overflow-x-visible
overflow-x-hidden
overflow-x-scroll
overflow-x-auto
overflow-y-visible
overflow-y-hidden
overflow-y-scroll
overflow-y-auto
padding-0
padding-bottom-0
padding-left-0
padding-right-0
padding-top-0
position-static
position-relative
position-absolute
position-fixed
position-sticky
right-0
row-gap-0
text-align-justify
text-align-left
text-align-right
text-align-center
text-decoration-none
text-decoration-underline
text-decoration-overline
text-decoration-line-through
text-shadow-none
top-0
transform-none
transition-none
vertical-align-baseline
vertical-align-sub
vertical-align-super
vertical-align-text-top
vertical-align-text-bottom
vertical-align-middle
vertical-align-top
vertical-align-bottom
z-index-0
z-index-1
